lineID,Experiment,comparisonType,Familiarity,NAME,Image1,Image2,comparisonImageNumber,Similarity,SimilarityAsymmetry,RawSimilarity_Proto/Ave First,RawSimilarity_ID First,Typicality,Exp3_Similarity,Exp3_SimilarityAsymmetry,Exp3_Similarity_Prototype First,Exp3_Similarity_Exemplar First,"avgSimilarity(Exp1,2,3)",VGG16_Img,VGG16_Conv1,VGG16_Conv2,VGG16_Conv3,VGG16_Conv4,VGG16_Conv5,VGG16_fc6,VGG16_fc7,VGG16_fc8,GIST
68,2,withinVar,Familiar,Sylvester Stallone,syl_stallone_average.jpg,syl_stallone9.jpg,8,6.488095238,0.444444444,6.333333333,6.642857143,7.272727273,7.964285714,-0.214285714,8.071428571,7.857142857,7.226190476,0.375059347,0.386898426,0.330504115,0.368835234,0.431694771,0.586149136,0.500778052,0.453693943,0.303060826,0.789257306
69,2,withinVar,Familiar,Sylvester Stallone,syl_stallone_average.jpg,syl_stallone10.jpg,9,6.245098039,0.555555556,6.117647059,6.37254902,6.136363636,7,0.666666667,6.666666667,7.333333333,6.62254902,0.437636822,0.452580629,0.39590774,0.408593394,0.443758542,0.446002046,0.414133382,0.263543926,0.096428924,0.670733951
70,2,withinVar,Familiar,Sylvester Stallone,syl_stallone_average.jpg,syl_stallone11.jpg,10,5.716981132,0.259259259,5.641509434,5.79245283,6.571428571,7,0.909090909,6.545454545,7.454545455,6.358490566,0.252280053,0.291133088,0.235020907,0.308550997,0.337746356,0.567406634,0.597126335,0.589552848,0.21440552,0.676186028
71,2,withinVar,Familiar,Sylvester Stallone,syl_stallone_average.jpg,syl_stallone12.jpg,11,6.611111111,0.148148148,6.666666667,6.555555556,7.894736842,7.35,0.3,7.2,7.5,6.980555556,0.236011584,0.257857919,0.233115742,0.280693966,0.351758008,0.410028148,0.201235931,0.185408923,0.189107093,0.684708979
72,2,withinVar,Familiar,Sylvester Stallone,syl_stallone_average.jpg,syl_stallone13.jpg,12,6.069767442,-0.037037037,6.069767442,6.069767442,7.681818182,6.875,-0.416666667,7.083333333,6.666666667,6.472383721,0.43687708,0.453885782,0.445574191,0.491612767,0.59843635,0.62298184,0.438891623,0.379108309,0.166537214,0.710229029
73,2,withinVar,Familiar,Sylvester Stallone,syl_stallone_average.jpg,syl_stallone14.jpg,13,7.179245283,0.333333333,6.962264151,7.396226415,7.391304348,8.65,0.3,8.5,8.8,7.914622642,0.51651317,0.522430486,0.565718037,0.606222369,0.667228599,0.650077969,0.540293214,0.474941723,0.081927631,0.804313772
74,2,withinVar,Familiar,Sylvester Stallone,syl_stallone_average.jpg,syl_stallone15.jpg,14,7.33,0.111111111,7.24,7.42,7.347826087,7.911764706,0.764705882,7.529411765,8.294117647,7.620882353,0.406715622,0.415261282,0.42692775,0.497888082,0.569955123,0.499140548,0.36517793,0.287799767,0.435183725,0.669347816
75,2,withinVar,Familiar,Sylvester Stallone,syl_stallone_average.jpg,syl_stallone15.jpg,15,6.955555556,1.148148148,6.511111111,7.4,7.208333333,7.681818182,0.090909091,7.636363636,7.727272727,7.318686869,0.390811,0.399815336,0.389954738,0.462297297,0.551759728,0.488498801,0.380827673,0.296304705,0.417262024,0.674274066
76,2,withinVar,Familiar,Sylvester Stallone,syl_stallone_average.jpg,syl_stallone16.jpg,16,6.101851852,0.555555556,5.833333333,6.37037037,7.166666667,6.884615385,0.230769231,6.769230769,7,6.493233618,0.458640961,0.481755519,0.4166039,0.409722368,0.486685676,0.498066826,0.270990854,0.190935528,0.236364517,0.82319082
77,2,withinVar,Familiar,Sylvester Stallone,syl_stallone_average.jpg,syl_stallone17.jpg,17,6,0,5.968253968,6.031746032,6.75,6.846153846,0.461538462,6.615384615,7.076923077,6.423076923,0.319423119,0.358086494,0.302664618,0.416055299,0.47852248,0.541943183,0.449416504,0.443080856,0.118139882,0.671996411
